CustomerID,cluster
C10002,7
C10054,1
C10126,8
C10154,4
C10211,4
C10222,1
C10477,1
C10642,3
C10787,8
C10791,4
C10866,8
C10892,4
C11127,0
C11210,0
C11415,2
C11473,7
C11644,7
C11657,3
C11665,3
C11676,8
C11829,4
C11849,3
C11893,1
C11906,7
C11921,6
C11940,3
C11985,7
C11998,0
C12039,1
C12245,8
C12301,3
C12388,2
C12408,8
C12421,3
C12444,6
C12459,6
C12472,0
C12479,8
C12487,3
C12607,4
C12609,6
C12667,1
C12740,4
C12813,1
C12818,0
C13100,4
C13108,2
C13169,3
C13186,3
C13205,0
C13296,0
C13324,3
C13366,2
C13501,0
C13525,3
C13540,7
C13877,2
C13923,3
C14005,7
C14017,6
C14080,6
C14114,4
C14240,4
C14427,1
C14455,4
C14457,1
C14552,8
C14553,3
C14568,1
C14576,4
C14600,7
C14683,4
C14737,3
C14837,8
C14847,5
C14891,0
C14983,3
C15017,3
C15063,0
C15146,1
C15228,3
C15257,0
C15283,7
C15624,2
C15629,7
C15681,1
C15849,0
C15924,1
C16012,3
C16253,1
C16400,1
C16429,4
C16612,4
C16675,7
C16693,8
C16702,8
C16758,3
C16775,2
C16776,1
C16790,1
C17075,3
C17103,7
C17132,4
C17136,0
C17181,2
C17269,8
C17302,6
C17388,0
C17389,8
C17470,1
C17551,1
C17591,3
C17921,4
C17966,7
C18037,1
C18076,6
C18104,0
C18105,1
C18138,7
C18167,4
C18169,3
C18187,1
C18353,3
C18404,2
C18473,0
C18567,7
C18583,6
C18717,2
C18724,0
C18820,2
C18826,8
C18944,0
C18984,3
C19071,3
C19266,4
C19368,3
C19384,3
C19402,7
C19439,4
C19451,2
C19648,2
C19722,1
C19742,3
C19759,0
C19937,7
C20077,2
C20095,8
C20124,7
C20212,8
C20256,3
C20257,3
C20286,8
C20338,8
C20357,6
C20448,3
C20512,2
C20624,6
C20643,1
C20670,7
C20731,7
C20752,7
C20817,2
C20861,2
C20881,1
C20977,0
C21043,6
C21126,4
C21147,0
C21167,2
C21181,3
C21191,5
C21227,0
C21437,6
C21665,0
C21905,3
C21944,1
C21953,1
C22101,0
C22123,3
C22167,2
C22429,0
C22534,0
C22657,2
C22783,2
C22919,3
C22981,4
C22991,6
C23279,8
C23334,3
C23405,2
C23555,4
C23637,3
C23899,4
C23917,7
C23947,1
C23978,8
C24047,8
C24212,6
C24301,6
C24347,1
C24369,1
C24751,2
C24765,4
C24769,1
C24884,8
C24901,0
C25110,3
C25123,4
C25149,3
C25162,3
C25268,7
C25276,2
C25316,7
C25382,6
C25406,4
C25445,1
C25503,6
C25534,4
C25580,6
C25587,7
C25783,4
C25841,8
C25918,1
C25967,3
C26118,1
C26137,3
C26152,6
C26163,4
C26188,0
C26210,1
C26223,3
C26340,4
C26364,1
C26445,0
C26637,0
C26718,7
C26767,7
C26817,6
C26966,2
C27070,2
C27072,0
C27078,4
C27202,2
C27203,1
C27305,0
C27401,1
C27430,7
C27435,2
C27438,7
C27613,2
C27898,2
C28049,7
C28152,4
C28386,4
C28406,0
C28552,0
C28648,8
C28712,7
C28740,0
C28828,4
C28889,0
C28893,3
C28976,7
C29041,6
C29059,4
C29063,0
C29072,1
C29092,0
C29314,8
C29318,8
C29405,6
C29416,1
C29432,0
C29467,0
C29483,4
C29568,7
C29620,6
C29685,0
C29697,3
C29701,0
C29703,2
C29758,0
C29844,3
C29885,7
C29905,4
C29914,1
C29931,4
C30010,6
C30168,6
C30184,8
C30334,6
C30411,2
C30477,7
C30513,3
C30643,1
C30686,7
C30711,8
C30722,4
C30923,1
C30955,6
C31072,1
C31105,0
C31371,7
C31412,8
C31501,4
C31668,1
C31761,2
C31764,3
C31772,6
C31810,6
C31946,4
C32011,0
C32029,7
C32121,1
C32183,4
C32347,7
C32570,6
C32580,6
C32650,8
C32687,1
C32798,6
C32854,4
C32943,4
C32956,2
C32960,2
C33051,6
C33099,1
C33110,0
C33220,3
C33260,4
C33313,6
C33315,7
C33540,0
C33634,2
C33729,8
C33744,0
C33802,8
C34134,7
C34266,2
C34337,6
C34416,8
C34555,0
C34686,3
C35043,8
C35091,8
C35100,6
C35117,4
C35123,6
C35136,1
C35168,3
C35355,7
C35377,2
C35397,7
C35483,7
C35566,1
C35628,0
C35669,2
C35711,8
C35785,7
C35852,5
C35854,3
C35983,2
C35987,2
C36014,7
C36137,1
C36150,1
C36174,7
C36383,8
C36408,2
C36467,7
C36492,4
C36497,4
C36534,8
C36540,0
C36613,8
C36688,4
C36725,2
C36778,3
C36813,1
C36825,1
C36938,8
C36992,0
C36997,6
C37032,6
C37235,4
C37249,6
C37375,3
C37412,6
C37454,8
C37455,2
C37531,4
C37594,1
C37969,4
C38024,3
C38065,7
C38068,4
C38126,2
C38134,4
C38262,3
C38557,8
C38642,1
C38669,8
C38785,8
C38840,5
C38845,1
C38928,1
