CustomerID,total_spend,avg_order_value,order_count,avg_quantity,avg_unit_price,avg_items_in_cart,coupon_usage_rate,bad_outcome_rate,product_diversity,recency_days,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,cluster
C10002,1470.03,1470.03,1,3.0,490.01,4.0,1.0,1.0,1,624,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C10054,153.48,153.48,1,2.0,76.74,7.0,1.0,1.0,1,260,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C10126,1349.8,1349.8,1,2.0,674.9,4.0,1.0,0.0,1,744,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C10154,1303.04,1303.04,1,4.0,325.76,8.0,1.0,0.0,1,337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C10211,635.9,635.9,1,5.0,127.18,10.0,1.0,1.0,1,418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C10222,204.08,204.08,1,1.0,204.08,4.0,0.0,1.0,1,643,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C10477,466.42,466.42,1,1.0,466.42,5.0,1.0,0.0,1,790,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C10642,922.74,922.74,1,2.0,461.37,5.0,1.0,0.0,1,384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C10787,1099.28,1099.28,1,4.0,274.82,9.0,1.0,0.0,1,617,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C10791,355.09,355.09,1,1.0,355.09,5.0,1.0,1.0,1,559,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
